topic,label,modality,rho_product_mean,p_value,mean_score
overall_flavor_match,Overall flavor match,Flavor,0.8323506559459662,1.1795377053142908e-08,3.5824043196228597
overall_texture_match,Overall texture match,Texture,0.775305895439377,4.874864277273464e-07,3.7334121112017367
tenderness_softness_match,Tenderness and softness,Texture,0.6849833147942158,2.9694305705441546e-05,4.0935414968982275
ham_taste_match,Ham taste,Flavor,0.6734149054505005,4.53469617309093e-05,4.047319094834813
fat_lean_appearance_match,Fat and lean appearance,Visual,0.5973303670745272,0.0004919367477992848,3.7727620111277913
slice_structure_homogeneity_match,Slice structure,Visual,0.5898976559038037,0.0006017001447766915,3.154948000120613
firmness_rubberiness_match,Firmness and rubberiness,Texture,0.5795328142380423,0.0007904771319591453,3.43056471591939
saltiness_match,Saltiness,Flavor,0.5599555061179087,0.001292154164642783,4.169937509717451
overall_visual_match,Overall visual match,Visual,0.5310935620804655,0.002530041966376789,3.6035388432491393
thickness_chew_match,Thickness and chew,Texture,0.5261986905405533,0.002819120651503072,3.5553608993881536
aromatic_smoky_spiced_match,Smoky and spiced notes,Flavor,0.5215940611137687,0.003116621379194254,3.1298268628103907
surface_moisture_shine_match,Moisture and shine,Visual,0.5208588306788311,0.003166542093056039,3.2196508012684486
fibrous_stringy_pieces_match,Fibrous pieces,Texture,0.4857047532558259,0.00650928317933073,3.4527120389512964
color_pinkness_match,Color and pinkness,Visual,0.3939933259176863,0.031217284005283057,4.353281652291032
bland_insipid_intensity_match,Blandness and intensity,Flavor,0.3920303634747532,0.032144790266289226,2.9551332751730035
dryness_juiciness_match,Dryness and juiciness,Texture,0.3619979997925921,0.04932846717423496,3.4381148989582866
offnote_aftertaste_match,Off-notes and aftertaste,Flavor,0.29312266425099365,0.11594246808502068,3.1989491064491067
